hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-103,7,9,2,33,-102,-101,-102,-103,-105,-102,-102,-101,-104,-101,-103,-102,-102,-104,-101,-102,-102,-107,-105,-109,-103,-106,-103,-102,-109,-107,-102,-103,-107,-102,-101,-102,-106,306-304,3.270233196159122
HDOK,PLOK,17472,2,2,-90,7,9,2,33,-89,-88,-89,-89,-89,-88,-88,-88,-87,-89,-91,-88,-88,-88,-89,-87,-87,-89,-88,-91,-94,-94,-92,-89,-88,-91,-89,-87,-89,-88,-89,-87,-87,306-304,1.4101508916323733
HDOK,PLOK,17472,3,3,-90,8,9,2,33,-89,-89,-89,-93,-90,-89,-89,-89,-89,-89,-91,-89,-89,-89,-89,-89,-89,-92,-90,-94,-92,-95,-91,-89,-89,-92,-89,-88,-91,-89,-88,-88,-88,306-304,1.5061728395061726
HDOK,PLOK,17472,4,4,-92,9,9,2,33,-89,-89,-89,-89,-92,-89,-89,-89,-91,-89,-89,-89,-89,-90,-89,-89,-89,-94,-92,-95,-90,-94,-90,-89,-89,-97,-89,-89,-95,-89,-89,-90,-94,306-304,3.5802469135802464
HDOK,PLOK,17472,5,5,-92,8,9,2,33,-88,-88,-88,-94,-89,-88,-94,-88,-89,-89,-91,-89,-89,-89,-89,-89,-89,-92,-90,-95,-93,-97,-93,-91,-90,-94,-91,-89,-93,-90,-91,-90,-90,306-304,3.283950617283951
HDOK,PLOK,17472,6,6,-93,9,9,2,33,-91,-91,-95,-90,-91,-90,-90,-90,-90,-94,-97,-90,-95,-91,-93,-90,-90,-91,-91,-92,-97,-97,-97,-95,-91,-92,-95,-90,-91,-92,-94,-93,-97,306-304,5.209876543209875
HDOK,PLOK,17472,7,7,-91,8,9,2,33,-89,-89,-89,-97,-90,-89,-93,-89,-89,-90,-92,-90,-89,-90,-90,-89,-89,-92,-90,-94,-94,-97,-93,-91,-89,-93,-91,-89,-92,-90,-90,-89,-89,306-304,2.6858710562414267
HDOK,PLOK,17472,8,8,-92,8,9,2,33,-90,-90,-90,-90,-92,-90,-90,-89,-98,-89,-91,-89,-89,-91,-90,-90,-89,-95,-92,-97,-92,-96,-91,-90,-93,-95,-90,-90,-94,-89,-89,-91,-89,306-304,3.698216735253772
HDOK,PLOK,17472,9,9,-92,8,9,2,33,-89,-89,-89,-89,-92,-90,-89,-89,-93,-89,-90,-89,-89,-91,-89,-89,-89,-95,-93,-97,-90,-93,-90,-89,-94,-95,-89,-90,-95,-89,-89,-89,-89,306-304,3.9506172839506175
HDOK,PLOK,17472,10,10,-91,8,9,2,33,-89,-90,-93,-89,-89,-89,-89,-89,-89,-94,-95,-89,-95,-89,-92,-89,-89,-90,-89,-91,-95,-94,-97,-94,-89,-90,-94,-89,-90,-90,-93,-93,-89,306-304,4.814814814814815
